                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4592,                 1.1848,                 1.1701,                0.64459,                0.52734,                0.57678,                0.29759,                 1.5079,                 1.0471,                 1.1825,               0.070045,              0.0033284,              0.0033284
                      1,                 1.3808,                0.89411,                 1.1326,                0.62252,                0.53958,                0.58124,                0.30022,                 1.5266,                 1.0427,                 1.2216,               0.039979,              0.0065957,              0.0065957
                      2,                 1.4142,                0.92616,                 1.1524,                0.62408,                 0.5059,                0.54874,                0.27524,                 1.6386,                 1.1411,                 1.2972,              0.0098469,              0.0097971,              0.0097971
                      3,                 1.4444,                 0.9471,                 1.1765,                0.70928,                0.53242,                0.59421,                0.31062,                 1.5198,                 1.0276,                 1.2441,               0.009703,               0.009703,               0.009703
                      4,                  1.361,                0.86677,                  1.144,                0.69623,                0.54957,                0.61657,                0.32546,                 1.5206,                 1.0228,                 1.2675,               0.009703,               0.009703,               0.009703
                      5,                 1.3095,                0.82508,                 1.1287,                0.71119,                0.60386,                0.65849,                0.36326,                  1.392,                0.91359,                 1.1782,               0.009604,               0.009604,               0.009604
                      6,                 1.2637,                0.78121,                  1.107,                0.73058,                0.60684,                0.66497,                0.37564,                  1.374,                0.86538,                 1.1732,               0.009505,               0.009505,               0.009505
                      7,                 1.2228,                0.74993,                 1.0936,                0.73932,                0.61026,                0.67158,                0.38219,                 1.3562,                0.84711,                 1.1718,               0.009406,               0.009406,               0.009406
                      8,                 1.1904,                0.72437,                 1.0827,                0.70204,                0.62218,                0.66831,                0.38548,                 1.3334,                0.83772,                  1.155,               0.009307,               0.009307,               0.009307
                      9,                 1.1628,                0.70575,                 1.0659,                0.73554,                0.63435,                0.69012,                0.40191,                 1.2978,                 0.7997,                 1.1398,               0.009208,               0.009208,               0.009208
                     10,                 1.1469,                0.68801,                 1.0592,                0.75197,                0.62425,                0.69063,                0.40544,                 1.2756,                0.77466,                  1.134,               0.009109,               0.009109,               0.009109
                     11,                 1.1251,                0.67518,                 1.0598,                 0.7463,                0.62727,                0.69526,                0.41359,                 1.2623,                0.77937,                 1.1228,                0.00901,                0.00901,                0.00901
                     12,                 1.1063,                0.66407,                 1.0473,                0.74314,                0.65269,                0.71229,                0.42423,                  1.249,                0.75018,                 1.1209,               0.008911,               0.008911,               0.008911
                     13,                  1.099,                 0.6527,                 1.0461,                0.75321,                 0.6562,                0.71719,                0.42805,                 1.2485,                0.73617,                 1.1171,               0.008812,               0.008812,               0.008812
                     14,                 1.0837,                0.64181,                 1.0382,                0.76238,                0.65517,                0.71953,                0.42708,                 1.2205,                0.72977,                 1.1098,               0.008713,               0.008713,               0.008713
                     15,                 1.0719,                0.63429,                 1.0351,                0.76647,                0.64377,                0.71563,                0.42963,                 1.2228,                0.72605,                 1.1123,               0.008614,               0.008614,               0.008614
                     16,                 1.0592,                0.62672,                 1.0321,                0.77046,                0.65705,                0.72428,                0.43544,                  1.217,                0.71906,                 1.1068,               0.008515,               0.008515,               0.008515
                     17,                 1.0496,                 0.6157,                 1.0267,                0.76589,                0.66261,                0.72244,                  0.438,                 1.2133,                0.71826,                 1.1068,               0.008416,               0.008416,               0.008416
                     18,                  1.038,                0.60908,                 1.0238,                0.72874,                0.66194,                0.71918,                0.43937,                 1.1946,                0.70523,                 1.1035,               0.008317,               0.008317,               0.008317
                     19,                 1.0318,                0.60629,                 1.0242,                0.76002,                0.64776,                0.72411,                0.44319,                 1.1919,                 0.7033,                    1.1,               0.008218,               0.008218,               0.008218
                     20,                  1.032,                0.59926,                 1.0239,                0.74852,                0.65839,                0.72181,                0.44467,                 1.1862,                0.69481,                 1.1015,               0.008119,               0.008119,               0.008119
                     21,                 1.0176,                0.59146,                 1.0161,                0.75451,                0.65716,                0.72865,                0.44789,                 1.1763,                0.69325,                 1.0986,                0.00802,                0.00802,                0.00802
                     22,                 1.0034,                 0.5876,                 1.0088,                0.77391,                0.66023,                0.73316,                0.45537,                 1.1715,                 0.6873,                 1.0904,               0.007921,               0.007921,               0.007921
                     23,                0.99973,                0.58096,                 1.0093,                0.77609,                0.66227,                0.73239,                0.45321,                 1.1674,                0.68551,                 1.0906,               0.007822,               0.007822,               0.007822
                     24,                0.98887,                0.57558,                 1.0069,                0.75783,                0.67012,                 0.7353,                0.45338,                 1.1705,                0.68318,                 1.0963,               0.007723,               0.007723,               0.007723
                     25,                0.99191,                 0.5757,                 1.0069,                0.76106,                0.66628,                0.73749,                0.45956,                 1.1571,                0.67782,                 1.0929,               0.007624,               0.007624,               0.007624
                     26,                 0.9835,                0.57009,                 1.0027,                0.76734,                0.67461,                0.74243,                0.45897,                 1.1532,                0.67586,                 1.0837,               0.007525,               0.007525,               0.007525
                     27,                0.97358,                0.56476,                 1.0003,                0.76128,                0.67294,                0.73779,                0.45908,                 1.1521,                0.66482,                 1.0867,               0.007426,               0.007426,               0.007426
                     28,                0.96672,                0.55932,                0.99834,                0.78388,                0.66652,                0.74264,                0.46322,                 1.1497,                0.66423,                 1.0851,               0.007327,               0.007327,               0.007327
                     29,                0.96107,                0.55401,                0.99737,                0.77374,                0.67054,                0.73932,                0.46239,                 1.1546,                0.66725,                 1.0889,               0.007228,               0.007228,               0.007228
                     30,                0.95864,                0.55643,                0.99646,                0.77296,                 0.6608,                0.73614,                 0.4632,                 1.1421,                0.66009,                  1.083,               0.007129,               0.007129,               0.007129
                     31,                 0.9584,                0.54978,                0.99743,                0.76385,                0.68686,                 0.7472,                0.47016,                  1.139,                0.65088,                 1.0822,                0.00703,                0.00703,                0.00703
                     32,                0.94917,                0.54633,                0.99241,                0.76294,                0.68039,                0.74505,                0.46897,                  1.146,                0.65145,                 1.0854,               0.006931,               0.006931,               0.006931
                     33,                0.94022,                0.54037,                0.98719,                 0.7484,                0.67631,                0.73776,                 0.4674,                 1.1419,                0.65228,                 1.0831,               0.006832,               0.006832,               0.006832
                     34,                0.94034,                0.53585,                0.98606,                0.77944,                0.68255,                0.75293,                0.47262,                 1.1424,                0.64083,                 1.0856,               0.006733,               0.006733,               0.006733
                     35,                0.92809,                0.52811,                0.98104,                0.76004,                 0.6816,                0.74822,                0.47316,                 1.1368,                 0.6413,                  1.081,               0.006634,               0.006634,               0.006634
                     36,                0.92854,                0.53097,                0.97908,                0.76379,                0.67996,                0.74346,                0.47349,                 1.1349,                0.64343,                 1.0816,               0.006535,               0.006535,               0.006535
                     37,                0.92771,                0.52641,                 0.9834,                0.77298,                0.68108,                0.74825,                0.47338,                 1.1289,                0.64129,                 1.0806,               0.006436,               0.006436,               0.006436
                     38,                0.91521,                0.52022,                0.97853,                0.77085,                0.68039,                 0.7467,                0.47456,                 1.1298,                0.63869,                 1.0806,               0.006337,               0.006337,               0.006337
                     39,                0.91613,                 0.5217,                0.97752,                0.75818,                0.68422,                0.74861,                 0.4781,                 1.1289,                0.63285,                 1.0783,               0.006238,               0.006238,               0.006238
                     40,                0.91374,                0.51922,                0.97872,                0.76839,                0.68804,                0.75289,                0.47747,                  1.126,                0.63694,                 1.0789,               0.006139,               0.006139,               0.006139
                     41,                0.90367,                0.51369,                0.97558,                0.78095,                0.67891,                0.75022,                0.47897,                 1.1192,                0.63197,                 1.0776,                0.00604,                0.00604,                0.00604
                     42,                 0.9018,                 0.5116,                 0.9756,                0.76984,                0.68221,                 0.7515,                0.47922,                 1.1204,                0.63029,                 1.0796,               0.005941,               0.005941,               0.005941
                     43,                0.88971,                0.50315,                0.96896,                0.77807,                0.68071,                0.75134,                0.48146,                 1.1189,                0.62603,                 1.0785,               0.005842,               0.005842,               0.005842
                     44,                0.88981,                0.50159,                0.97046,                0.78263,                0.68475,                0.75213,                0.48042,                 1.1234,                0.62375,                 1.0809,               0.005743,               0.005743,               0.005743
                     45,                0.87986,                0.49395,                0.96746,                0.78797,                0.67841,                0.75135,                0.48109,                 1.1178,                0.62387,                 1.0793,               0.005644,               0.005644,               0.005644
                     46,                0.88178,                0.49717,                0.96735,                0.77232,                0.68478,                0.75186,                0.48148,                 1.1206,                0.62543,                 1.0796,               0.005545,               0.005545,               0.005545
                     47,                0.87675,                0.49359,                0.96457,                0.78015,                 0.6883,                0.75717,                0.48292,                 1.1185,                0.62291,                 1.0774,               0.005446,               0.005446,               0.005446
                     48,                0.87346,                0.48996,                0.96356,                0.78227,                 0.6839,                0.75281,                0.48315,                 1.1156,                0.62368,                 1.0792,               0.005347,               0.005347,               0.005347
                     49,                0.87043,                0.48988,                0.96382,                0.78344,                0.68264,                0.75232,                0.48286,                 1.1114,                0.62127,                 1.0783,               0.005248,               0.005248,               0.005248
                     50,                0.86178,                0.48537,                0.95957,                 0.7732,                0.68807,                0.75315,                0.48185,                 1.1141,                0.61749,                 1.0773,               0.005149,               0.005149,               0.005149
                     51,                0.85986,                  0.481,                0.95934,                0.77113,                0.68641,                0.75601,                0.48416,                 1.1198,                0.61465,                 1.0825,                0.00505,                0.00505,                0.00505
                     52,                0.86292,                0.48119,                0.95816,                 0.7825,                0.68718,                0.75613,                0.48583,                 1.1171,                0.61265,                 1.0793,               0.004951,               0.004951,               0.004951
                     53,                0.85273,                0.47678,                0.95622,                0.77897,                0.68764,                0.75455,                0.48444,                 1.1136,                0.61703,                 1.0783,               0.004852,               0.004852,               0.004852
                     54,                0.85028,                0.47466,                0.95556,                0.77406,                0.69036,                0.75435,                0.48644,                 1.1166,                0.61016,                 1.0779,               0.004753,               0.004753,               0.004753
                     55,                 0.8375,                 0.4648,                0.95167,                0.78093,                0.68512,                 0.7527,                0.48565,                 1.1157,                0.60959,                 1.0793,               0.004654,               0.004654,               0.004654
                     56,                0.83947,                0.46472,                0.95184,                0.78156,                0.68834,                0.75621,                0.48841,                  1.111,                0.60941,                 1.0802,               0.004555,               0.004555,               0.004555
                     57,                0.83637,                0.46295,                0.94991,                0.77351,                0.69632,                0.75727,                0.48834,                 1.1119,                0.60773,                 1.0827,               0.004456,               0.004456,               0.004456
                     58,                0.82672,                0.45812,                0.94743,                0.76782,                0.69658,                0.75684,                 0.4889,                 1.1136,                0.60727,                  1.085,               0.004357,               0.004357,               0.004357
                     59,                0.82494,                0.45586,                0.94523,                0.77523,                0.69561,                0.76063,                0.48967,                 1.1146,                0.60687,                 1.0848,               0.004258,               0.004258,               0.004258
                     60,                0.81303,                0.45036,                 0.9439,                0.77115,                0.69548,                0.75981,                0.48966,                 1.1118,                0.60554,                 1.0853,               0.004159,               0.004159,               0.004159
                     61,                0.80984,                0.44617,                0.94087,                 0.7803,                 0.6917,                0.75977,                0.48959,                 1.1134,                0.60281,                 1.0854,                0.00406,                0.00406,                0.00406
                     62,                0.82421,                0.45355,                0.94603,                0.77959,                0.68941,                0.75798,                 0.4899,                 1.1128,                0.60247,                  1.087,               0.003961,               0.003961,               0.003961
                     63,                0.81256,                0.44479,                0.94159,                0.77962,                0.68946,                0.75664,                0.48886,                 1.1159,                0.60526,                 1.0886,               0.003862,               0.003862,               0.003862
                     64,                0.79875,                0.43838,                0.94291,                0.77039,                0.69342,                0.75823,                0.48917,                 1.1171,                0.60599,                 1.0912,               0.003763,               0.003763,               0.003763
                     65,                0.79464,                0.43312,                0.93732,                0.76856,                0.69538,                 0.7559,                0.49031,                 1.1167,                0.60635,                 1.0932,               0.003664,               0.003664,               0.003664
                     66,                0.78973,                0.43199,                0.93699,                0.77459,                0.69082,                0.75655,                0.49102,                 1.1193,                0.60476,                 1.0966,               0.003565,               0.003565,               0.003565
                     67,                0.79287,                0.43211,                0.93722,                 0.7787,                0.69017,                0.75781,                0.49175,                 1.1209,                0.60554,                 1.0987,               0.003466,               0.003466,               0.003466
                     68,                0.79357,                0.43319,                0.93591,                0.78009,                0.69392,                0.75947,                0.49177,                  1.121,                0.60683,                 1.0979,               0.003367,               0.003367,               0.003367
                     69,                0.78369,                0.42527,                0.93118,                0.78041,                0.69359,                0.75886,                0.49122,                 1.1215,                0.60672,                 1.0975,               0.003268,               0.003268,               0.003268
                     70,                0.77338,                0.41828,                0.92776,                0.77745,                0.69128,                0.75812,                0.49137,                 1.1225,                0.60639,                 1.0973,               0.003169,               0.003169,               0.003169
                     71,                0.77141,                0.41656,                0.92754,                0.76775,                0.69699,                0.75941,                0.49125,                 1.1222,                0.60651,                 1.0977,                0.00307,                0.00307,                0.00307
                     72,                0.77024,                0.41743,                0.92501,                0.76826,                 0.6958,                0.76019,                0.49238,                  1.124,                0.60516,                 1.0989,               0.002971,               0.002971,               0.002971
                     73,                0.76089,                0.41271,                0.92191,                0.76952,                0.70065,                0.76275,                0.49297,                 1.1251,                0.60434,                 1.0995,               0.002872,               0.002872,               0.002872
                     74,                0.75826,                0.40873,                0.92056,                0.77099,                0.70205,                0.76353,                0.49308,                 1.1266,                0.60351,                 1.1007,               0.002773,               0.002773,               0.002773
                     75,                0.75405,                0.40727,                0.92097,                0.77564,                0.70106,                0.76523,                0.49308,                 1.1258,                0.60306,                 1.1011,               0.002674,               0.002674,               0.002674
                     76,                0.76005,                0.40656,                0.92047,                0.77523,                0.70102,                0.76557,                 0.4931,                 1.1268,                0.60244,                  1.102,               0.002575,               0.002575,               0.002575
                     77,                0.74028,                0.39609,                0.91289,                0.77619,                0.69924,                0.76545,                0.49379,                 1.1269,                0.60173,                 1.1018,               0.002476,               0.002476,               0.002476
                     78,                0.74404,                0.39659,                0.91239,                0.77513,                0.69793,                0.76481,                0.49334,                 1.1277,                  0.602,                 1.1031,               0.002377,               0.002377,               0.002377
                     79,                 0.7404,                0.39594,                0.91497,                0.77341,                 0.7004,                0.76518,                0.49355,                 1.1282,                0.60168,                 1.1048,               0.002278,               0.002278,               0.002278
                     80,                0.73587,                0.39167,                 0.9154,                0.77081,                0.70324,                0.76491,                0.49363,                 1.1289,                0.60256,                 1.1064,               0.002179,               0.002179,               0.002179
                     81,                0.73288,                0.38976,                0.91316,                0.77123,                0.70169,                0.76439,                0.49359,                 1.1299,                0.60299,                 1.1079,                0.00208,                0.00208,                0.00208
                     82,                0.72676,                 0.3873,                0.91133,                0.77642,                0.69882,                0.76412,                0.49368,                 1.1308,                0.60339,                 1.1091,               0.001981,               0.001981,               0.001981
                     83,                0.71588,                0.38046,                0.90723,                0.77152,                0.69866,                0.76156,                0.49325,                 1.1316,                0.60275,                  1.111,               0.001882,               0.001882,               0.001882
                     84,                0.71382,                0.37875,                0.90648,                0.77111,                0.69756,                0.76165,                0.49295,                 1.1328,                  0.603,                  1.113,               0.001783,               0.001783,               0.001783
                     85,                0.70861,                0.37755,                0.90366,                0.77386,                0.69694,                0.76206,                0.49331,                 1.1337,                0.60341,                 1.1137,               0.001684,               0.001684,               0.001684
                     86,                0.70349,                  0.373,                0.89958,                0.77139,                0.69883,                  0.761,                0.49325,                 1.1348,                0.60358,                 1.1152,               0.001585,               0.001585,               0.001585
                     87,                 0.7015,                 0.3707,                0.90148,                 0.7751,                0.69646,                0.76217,                0.49393,                 1.1357,                0.60433,                 1.1165,               0.001486,               0.001486,               0.001486
                     88,                0.69055,                0.36565,                 0.8964,                 0.7756,                 0.6947,                0.76305,                0.49398,                 1.1361,                0.60482,                 1.1173,               0.001387,               0.001387,               0.001387
                     89,                0.68764,                0.36229,                0.89619,                 0.7772,                0.69653,                  0.763,                0.49424,                 1.1366,                0.60523,                 1.1181,               0.001288,               0.001288,               0.001288
                     90,                0.68722,                0.36356,                 0.8956,                0.77599,                 0.6963,                0.76256,                0.49402,                  1.137,                0.60622,                 1.1188,               0.001189,               0.001189,               0.001189
