                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6573,                 1.7651,                 1.2011,                0.59461,                0.42954,                0.46437,                 0.2186,                 1.6948,                 1.4136,                 1.2126,               0.070045,              0.0033284,              0.0033284
                      1,                 1.5637,                 1.2091,                 1.1526,                0.61366,                0.48315,                0.51556,                0.25476,                 1.6223,                 1.3338,                 1.1822,               0.039979,              0.0065957,              0.0065957
                      2,                 1.5697,                 1.1848,                 1.1612,                0.54344,                0.40372,                0.41625,                0.20593,                 1.7409,                  1.409,                 1.2645,              0.0098469,              0.0097971,              0.0097971
                      3,                 1.5839,                 1.1537,                 1.1684,                0.67785,                0.50571,                0.55706,                0.27887,                 1.6261,                 1.2519,                 1.2047,               0.009703,               0.009703,               0.009703
                      4,                 1.5142,                 1.0614,                 1.1439,                0.61116,                0.52505,                0.54922,                0.28582,                 1.5906,                 1.1206,                 1.1797,               0.009703,               0.009703,               0.009703
                      5,                 1.4766,                 1.0151,                 1.1316,                0.63157,                0.52417,                0.54429,                 0.2706,                 1.5959,                 1.1621,                 1.1815,               0.009604,               0.009604,               0.009604
                      6,                 1.4357,                0.96968,                 1.1099,                0.68619,                0.53063,                0.58309,                0.30926,                 1.5246,                 1.0799,                 1.1572,               0.009505,               0.009505,               0.009505
                      7,                 1.4007,                0.93594,                 1.0964,                0.69099,                0.56359,                0.61337,                0.33041,                 1.4785,                 1.0138,                 1.1389,               0.009406,               0.009406,               0.009406
                      8,                 1.3675,                0.90451,                 1.0848,                0.67931,                0.56226,                0.61038,                 0.3343,                  1.447,                0.99535,                 1.1157,               0.009307,               0.009307,               0.009307
                      9,                 1.3453,                0.88179,                 1.0736,                0.70953,                0.58615,                0.64172,                0.35318,                 1.4261,                0.95272,                 1.1125,               0.009208,               0.009208,               0.009208
                     10,                 1.3274,                0.86085,                 1.0684,                0.67633,                0.57609,                 0.6199,                0.35127,                 1.4033,                0.94397,                 1.1036,               0.009109,               0.009109,               0.009109
                     11,                 1.3043,                0.84226,                  1.063,                 0.7126,                0.59355,                0.65248,                0.36384,                 1.3984,                0.92073,                 1.0911,                0.00901,                0.00901,                0.00901
                     12,                 1.2869,                0.82853,                 1.0528,                0.71501,                0.58737,                0.65031,                0.36708,                 1.3746,                0.90595,                 1.0907,               0.008911,               0.008911,               0.008911
                     13,                  1.283,                0.82281,                 1.0536,                0.71497,                0.59751,                 0.6511,                0.36147,                 1.3985,                0.91335,                 1.0972,               0.008812,               0.008812,               0.008812
                     14,                 1.2603,                0.80442,                 1.0432,                0.72005,                0.60408,                0.66118,                 0.3771,                 1.3599,                0.89128,                 1.0826,               0.008713,               0.008713,               0.008713
                     15,                 1.2569,                0.80079,                 1.0439,                0.73289,                0.59449,                0.66166,                0.38011,                  1.355,                0.87769,                 1.0821,               0.008614,               0.008614,               0.008614
                     16,                  1.245,                0.78962,                 1.0407,                0.75227,                0.60154,                 0.6741,                0.38819,                  1.341,                0.86635,                 1.0745,               0.008515,               0.008515,               0.008515
                     17,                 1.2331,                0.77953,                 1.0366,                0.71673,                0.60981,                0.65933,                0.38231,                 1.3343,                0.86369,                  1.077,               0.008416,               0.008416,               0.008416
                     18,                 1.2173,                0.76955,                 1.0299,                0.72929,                0.61331,                0.67313,                0.39136,                 1.3125,                0.84563,                  1.061,               0.008317,               0.008317,               0.008317
                     19,                 1.2104,                0.76595,                   1.03,                0.71772,                0.61925,                0.67407,                 0.3921,                 1.3216,                0.84755,                 1.0681,               0.008218,               0.008218,               0.008218
                     20,                 1.2114,                 0.7592,                 1.0279,                 0.7179,                0.61851,                0.66669,                0.39072,                 1.3095,                0.85329,                 1.0643,               0.008119,               0.008119,               0.008119
                     21,                 1.2012,                0.75254,                 1.0225,                0.74259,                0.62273,                0.68569,                0.39927,                 1.2993,                0.83452,                 1.0578,                0.00802,                0.00802,                0.00802
                     22,                  1.187,                0.74674,                 1.0203,                0.74482,                0.61293,                0.67912,                0.39862,                 1.2989,                0.82992,                   1.06,               0.007921,               0.007921,               0.007921
                     23,                 1.1805,                0.73878,                 1.0177,                0.73763,                0.61555,                0.67446,                 0.3951,                 1.2913,                0.81333,                 1.0551,               0.007822,               0.007822,               0.007822
                     24,                 1.1717,                0.72981,                 1.0137,                0.75569,                0.62771,                0.69139,                0.40653,                 1.2834,                 0.8074,                 1.0472,               0.007723,               0.007723,               0.007723
                     25,                 1.1677,                 0.7284,                 1.0129,                0.74491,                0.62203,                0.68902,                0.40792,                 1.2805,                0.80809,                 1.0539,               0.007624,               0.007624,               0.007624
                     26,                 1.1637,                0.72405,                 1.0095,                0.75661,                0.61844,                0.69299,                0.40957,                 1.2709,                0.79884,                  1.046,               0.007525,               0.007525,               0.007525
                     27,                 1.1541,                0.72064,                 1.0076,                0.76588,                0.62332,                0.69443,                0.40927,                 1.2733,                0.79704,                 1.0495,               0.007426,               0.007426,               0.007426
                     28,                 1.1495,                 0.7156,                  1.008,                0.75062,                0.62766,                0.69203,                0.41132,                 1.2675,                0.79489,                 1.0504,               0.007327,               0.007327,               0.007327
                     29,                 1.1438,                0.70926,                 1.0042,                0.76284,                0.62584,                0.69401,                0.41604,                 1.2555,                0.78968,                 1.0449,               0.007228,               0.007228,               0.007228
                     30,                   1.14,                0.71013,                  1.004,                0.75912,                0.62641,                 0.6935,                0.41598,                 1.2535,                0.78727,                 1.0431,               0.007129,               0.007129,               0.007129
                     31,                  1.142,                0.70762,                 1.0056,                0.76825,                0.63404,                0.70742,                0.42185,                 1.2435,                0.77898,                 1.0379,                0.00703,                0.00703,                0.00703
                     32,                 1.1331,                0.70218,                 1.0012,                0.75401,                0.63662,                0.69959,                0.41878,                 1.2438,                0.77624,                 1.0379,               0.006931,               0.006931,               0.006931
                     33,                 1.1226,                0.69626,                0.99807,                0.74447,                0.63758,                0.69582,                0.42071,                 1.2376,                 0.7722,                 1.0389,               0.006832,               0.006832,               0.006832
