                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4344,                 1.4514,                 1.1025,                0.73689,                0.62204,                0.67921,                0.40229,                 1.2799,                0.67811,                 1.0191,               0.070108,              0.0033213,              0.0033213
                      1,                 1.2513,                0.75745,                 1.0278,                0.79468,                0.72672,                0.78185,                0.44258,                 1.3099,                0.67847,                 1.0231,               0.039844,              0.0063912,              0.0063912
                      2,                 1.2268,                 0.7368,                 1.0187,                0.68029,                 0.5629,                0.56114,                 0.2897,                 1.6672,                 1.1255,                 1.2274,              0.0093169,               0.009197,               0.009197
                      3,                 1.2063,                0.69711,                 1.0067,                0.80292,                0.75708,                0.82013,                0.48907,                 1.1479,                0.65902,                0.99135,               0.008812,               0.008812,               0.008812
                      4,                 1.1342,                0.64295,                0.99012,                0.89212,                0.81089,                0.87756,                0.51567,                 1.0676,                 0.5812,                0.97853,               0.008812,               0.008812,               0.008812
                      5,                 1.0703,                0.60388,                0.97093,                0.92377,                0.81052,                0.87821,                0.52011,                 1.1715,                0.65987,                 1.0132,               0.008416,               0.008416,               0.008416
                      6,                 1.0292,                0.57547,                0.95446,                0.92134,                0.88501,                0.93348,                0.57986,                0.95777,                0.50578,                0.93761,                0.00802,                0.00802,                0.00802
                      7,                0.98611,                0.54875,                 0.9437,                0.90174,                0.84486,                0.91466,                0.58469,                0.95751,                0.49612,                0.93183,               0.007624,               0.007624,               0.007624
                      8,                0.94862,                0.52229,                0.93135,                0.90387,                0.88224,                0.92285,                0.61215,                0.89379,                0.46801,                0.91454,               0.007228,               0.007228,               0.007228
                      9,                0.91487,                0.50648,                0.92239,                 0.9232,                 0.8985,                0.94269,                0.59163,                 0.9114,                 0.4711,                0.91967,               0.006832,               0.006832,               0.006832
                     10,                0.89503,                 0.4932,                0.91896,                0.89146,                0.91113,                 0.9246,                0.61223,                0.86729,                0.44859,                0.90961,               0.006436,               0.006436,               0.006436
                     11,                0.87382,                0.47883,                0.91294,                0.91905,                0.92033,                0.95409,                0.63217,                0.84927,                0.43588,                 0.9067,                0.00604,                0.00604,                0.00604
                     12,                0.84778,                0.46457,                0.90497,                0.92911,                0.91193,                0.96285,                0.64533,                0.82163,                0.41032,                0.89656,               0.005644,               0.005644,               0.005644
                     13,                0.82376,                0.44894,                0.89958,                0.93816,                0.93101,                0.95006,                0.66699,                0.78601,                0.39935,                0.88552,               0.005248,               0.005248,               0.005248
                     14,                0.81251,                0.43772,                0.89473,                0.93192,                0.91057,                0.95824,                0.66147,                0.77766,                0.39828,                0.88524,               0.004852,               0.004852,               0.004852
                     15,                0.78033,                0.40899,                0.88633,                0.96071,                0.90609,                0.95887,                0.63251,                0.84826,                0.41608,                0.89933,               0.004456,               0.004456,               0.004456
                     16,                0.76482,                0.39757,                0.88003,                0.93505,                0.93861,                0.96258,                0.67594,                0.76807,                0.38143,                0.87926,                0.00406,                0.00406,                0.00406
                     17,                0.73983,                0.38707,                0.87422,                0.95175,                 0.9397,                0.97078,                0.68273,                0.75729,                0.37841,                0.87757,               0.003664,               0.003664,               0.003664
                     18,                0.72244,                0.37517,                0.86775,                0.96141,                 0.9352,                0.96827,                0.69379,                0.72818,                0.36235,                0.87067,               0.003268,               0.003268,               0.003268
                     19,                 0.6971,                0.36439,                0.85864,                0.94547,                0.93832,                0.96234,                0.69884,                 0.7306,                0.36486,                 0.8683,               0.002872,               0.002872,               0.002872
                     20,                0.68187,                 0.3562,                0.85961,                0.94727,                0.94083,                0.96379,                0.68933,                0.71199,                0.35026,                0.86492,               0.002476,               0.002476,               0.002476
                     21,                 0.6622,                0.34339,                0.85262,                0.96564,                0.95161,                0.97601,                0.70916,                0.69301,                0.34369,                0.85889,                0.00208,                0.00208,                0.00208
                     22,                0.64584,                0.33629,                0.84806,                0.96381,                0.95037,                0.97229,                0.71953,                 0.6756,                0.33451,                0.85774,               0.001684,               0.001684,               0.001684
                     23,                0.62809,                0.32695,                0.84633,                 0.9712,                0.95589,                0.97625,                0.72883,                0.65526,                0.32419,                0.85443,               0.001288,               0.001288,               0.001288
                     24,                0.61517,                0.31814,                0.84528,                0.95727,                0.96001,                0.97454,                0.72596,                0.65086,                0.31924,                0.85255,               0.000892,               0.000892,               0.000892
