                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0011,                 2.0526,                 1.5371,                0.55233,                0.25123,                0.21564,                0.06676,                 2.3895,                 1.8425,                 1.5575,               0.070036,              0.0033293,              0.0033293
                      1,                 1.8413,                 1.4188,                 1.4008,                 0.6624,                0.31038,                0.30205,                0.09011,                 2.3663,                 1.5059,                 1.5044,               0.039848,              0.0064742,              0.0064742
                      2,                 1.8086,                 1.3224,                 1.3781,                0.40536,                0.32031,                0.32281,                0.10709,                 2.2771,                 1.5297,                 1.4627,               0.009471,              0.0094305,              0.0094305
                      3,                 1.7572,                 1.2303,                 1.3515,                0.37692,                0.28991,                0.26375,                0.07012,                 2.4952,                 1.6006,                 1.5986,              0.0091514,              0.0091514,              0.0091514
                      4,                 1.6954,                 1.1441,                 1.3188,                0.55888,                0.45528,                 0.4201,                0.13153,                 2.2297,                 1.3135,                 1.4134,              0.0091514,              0.0091514,              0.0091514
                      5,                 1.6453,                 1.0745,                 1.2925,                0.71126,                0.44177,                0.45363,                0.17703,                 2.2147,                 1.2171,                 1.4017,              0.0088686,              0.0088686,              0.0088686
                      6,                 1.6037,                 1.0256,                 1.2697,                0.70293,                0.42553,                0.49467,                0.15799,                  2.128,                 1.1657,                 1.3578,              0.0085857,              0.0085857,              0.0085857
                      7,                 1.5704,                0.98924,                 1.2557,                0.67711,                0.49829,                 0.5169,                0.19709,                 2.0525,                  1.132,                 1.3179,              0.0083029,              0.0083029,              0.0083029
                      8,                 1.5397,                0.95646,                 1.2374,                0.69358,                0.54588,                0.55983,                0.22155,                 2.0487,                 1.1555,                 1.3309,                0.00802,                0.00802,                0.00802
                      9,                 1.5118,                0.92914,                 1.2224,                0.66917,                0.52984,                0.54718,                0.16569,                 2.2544,                 1.1284,                 1.4144,              0.0077371,              0.0077371,              0.0077371
