                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0114,                 2.0817,                  1.501,                0.55754,                0.23286,                0.23562,                0.08292,                 2.0592,                 1.5141,                 1.2777,               0.070036,              0.0033293,              0.0033293
                      1,                 1.8184,                  1.391,                 1.3776,                0.75026,                0.38752,                0.41531,                0.13887,                 2.2169,                 1.4128,                 1.4016,               0.039377,               0.006003,               0.006003
                      2,                  1.775,                 1.2986,                 1.3637,                0.61559,                0.41699,                0.44604,                0.12785,                 2.0126,                 1.3467,                 1.3114,              0.0080573,              0.0080167,              0.0080167
                      3,                 1.7355,                 1.2189,                 1.3456,                0.44808,                0.35297,                0.31629,                0.09147,                 2.1589,                 1.3967,                 1.3509,                0.00703,                0.00703,                0.00703
                      4,                 1.6541,                 1.1111,                 1.2973,                0.63599,                0.45725,                0.45675,                 0.1715,                 1.9024,                 1.2353,                 1.2546,                0.00703,                0.00703,                0.00703
                      5,                 1.5859,                 1.0195,                 1.2598,                0.63663,                0.49526,                0.50727,                0.16001,                 2.0552,                 1.2233,                 1.3023,                0.00604,                0.00604,                0.00604
                      6,                 1.5167,                0.95203,                 1.2194,                0.69198,                0.51089,                0.54434,                0.19773,                 2.0628,                 1.1736,                 1.3099,                0.00505,                0.00505,                0.00505
                      7,                 1.4704,                0.90108,                  1.195,                0.64169,                0.52816,                0.57434,                0.22365,                 1.9231,                  1.073,                 1.2479,                0.00406,                0.00406,                0.00406
                      8,                 1.4202,                0.85409,                 1.1694,                 0.6836,                0.49725,                0.53925,                0.21661,                 2.0556,                 1.1393,                   1.29,                0.00307,                0.00307,                0.00307
                      9,                 1.3774,                 0.8188,                 1.1494,                0.72899,                0.54405,                0.58191,                0.21998,                 1.9649,                 1.0445,                 1.2487,                0.00208,                0.00208,                0.00208
