                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0011,                 2.0526,                 1.5371,                0.55233,                0.25123,                0.21564,                0.06676,                 2.3895,                 1.8425,                 1.5575,               0.070036,              0.0033293,              0.0033293
                      1,                 1.8395,                 1.4151,                 1.3973,                 0.6828,                 0.2951,                0.31291,                0.08668,                 2.3353,                 1.4681,                 1.4694,               0.039707,              0.0063328,              0.0063328
                      2,                  1.806,                 1.3135,                 1.3752,                0.50022,                0.36833,                0.36264,                0.09993,                 2.3759,                 1.5568,                 1.5226,              0.0090469,              0.0090063,              0.0090063
                      3,                 1.7455,                 1.2217,                  1.341,                0.54266,                0.41808,                0.39153,                0.13626,                 2.1445,                 1.4377,                 1.3957,               0.008515,               0.008515,               0.008515
                      4,                 1.6842,                 1.1323,                 1.3099,                 0.5416,                0.40035,                0.44021,                0.16515,                 2.0952,                 1.2655,                 1.3448,               0.008515,               0.008515,               0.008515
                      5,                 1.6296,                 1.0627,                 1.2811,                0.52787,                0.42215,                0.41295,                 0.1339,                 2.4143,                 1.3107,                 1.5021,                0.00802,                0.00802,                0.00802
                      6,                  1.587,                 1.0117,                 1.2573,                0.80929,                0.39536,                0.45867,                0.21222,                 2.0272,                  1.264,                 1.3011,               0.007525,               0.007525,               0.007525
                      7,                 1.5531,                0.97472,                 1.2449,                0.65782,                0.49618,                0.51409,                0.20186,                 2.1178,                 1.1637,                 1.3566,                0.00703,                0.00703,                0.00703
                      8,                  1.517,                0.93616,                 1.2245,                0.67451,                0.51158,                0.53162,                0.20837,                 2.0238,                 1.1806,                 1.3024,               0.006535,               0.006535,               0.006535
                      9,                 1.4848,                0.90723,                 1.2075,                0.70114,                0.54344,                0.55707,                 0.2061,                 2.1998,                  1.104,                 1.3741,                0.00604,                0.00604,                0.00604
                     10,                 1.4696,                0.86945,                 1.2159,                0.66939,                0.52069,                0.52971,                0.19699,                 2.1588,                 1.1518,                 1.3506,               0.005545,               0.005545,               0.005545
                     11,                 1.4353,                0.84489,                 1.1993,                0.66325,                0.54703,                0.60076,                0.24614,                 2.0366,                 1.0935,                 1.2992,                0.00505,                0.00505,                0.00505
                     12,                 1.4042,                0.81236,                 1.1801,                0.69037,                0.55535,                0.58943,                0.24105,                 2.0634,                 1.0989,                 1.3244,               0.004555,               0.004555,               0.004555
                     13,                 1.3764,                0.79116,                  1.165,                0.68161,                0.56576,                0.59346,                0.21613,                 2.0284,                 1.0268,                 1.2911,                0.00406,                0.00406,                0.00406
                     14,                 1.3508,                0.77045,                 1.1521,                0.73331,                0.54188,                0.57637,                 0.2252,                 2.0341,                 1.0393,                 1.3003,               0.003565,               0.003565,               0.003565
                     15,                 1.3257,                0.74671,                 1.1405,                0.72429,                 0.5357,                0.58571,                0.21921,                 2.0711,                 1.0529,                 1.3311,                0.00307,                0.00307,                0.00307
                     16,                 1.2978,                0.73019,                 1.1245,                0.73271,                0.58344,                0.61199,                0.26162,                 1.9533,                0.98686,                 1.2496,               0.002575,               0.002575,               0.002575
                     17,                 1.2731,                 0.7071,                 1.1111,                 0.7232,                0.54678,                0.59057,                0.25707,                 1.9735,                  1.018,                 1.2812,                0.00208,                0.00208,                0.00208
                     18,                 1.2529,                0.69423,                 1.1025,                 0.7309,                0.58745,                0.62269,                0.29512,                 1.8894,                0.96163,                  1.233,               0.001585,               0.001585,               0.001585
                     19,                 1.2329,                0.67594,                 1.0939,                 0.7616,                0.59545,                0.62759,                0.28084,                  1.923,                0.96056,                 1.2499,                0.00109,                0.00109,                0.00109
